Phenotype	Set	Threshold	PRS.R2	Full.R2	Null.R2	Prevalence	Coefficient	Standard.Error	P	Num_SNP	pheno	prs	test	prs.test	MDD.R2	ratio
107	-	Base	1	0.000700571	0.00220591	0.00150534	-	-41014.9	8797.01	3.13902e-06	116103	agefirstsex.baseline	Auto-ImpAll	7	Auto-ImpAll:7	0.0120507	0.0581352950451011
108	-	Base	1	0.000700897	0.00204825	0.00134735	-	-40156.8	8604	3.06579e-06	116103	agefirstsex.baseline	Auto-ImpAll	8	Auto-ImpAll:8	0.0169171	0.0414312736816594
109	-	Base	1	0.000490487	0.00250576	0.00201528	-	-34114.1	8744.14	9.58519e-05	116103	agefirstsex.baseline	Auto-ImpAll	9	Auto-ImpAll:9	0.0164276	0.029857495921498
110	-	Base	1	0.00103776	0.00245312	0.00141537	-	-49231.7	8674.59	1.3961e-08	116103	agefirstsex.baseline	Auto-ImpAll	10	Auto-ImpAll:10	0.0140564	0.0738282917389943
111	-	Base	1	0.000110786	0.00198191	0.00187112	-	3372	1820.51	0.064003	116103	agefirstsex.baseline	LifetimeMDD	1	LifetimeMDD:1	0.00413299	0.0268052910846627
112	-	Base	1	5.65153e-05	0.00208594	0.00202942	-	2370.22	1787.92	0.184953	116103	agefirstsex.baseline	LifetimeMDD	2	LifetimeMDD:2	0.00184968	0.0305540958436054
113	-	Base	1	0.000315429	0.00181265	0.00149722	-	5682.88	1817.31	0.00176712	116103	agefirstsex.baseline	LifetimeMDD	3	LifetimeMDD:3	0.00514423	0.0613170484212409
114	-	Base	1	0.000180704	0.00135637	0.00117567	-	4290.22	1813.47	0.0179997	116103	agefirstsex.baseline	LifetimeMDD	4	LifetimeMDD:4	0.00607482	0.0297463957779819
115	-	Base	1	4.627e-05	0.00126165	0.00121538	-	2076.46	1735.12	0.231423	106880	agefirstsex.baseline	LifetimeMDD	5	LifetimeMDD:5	0.00201922	0.022914788878874
116	-	Base	1	0.000417403	0.00267941	0.00226201	-	6462.17	1795.33	0.000319421	116103	agefirstsex.baseline	LifetimeMDD	6	LifetimeMDD:6	0.00634744	0.0657592667280037
117	-	Base	1	0.00014376	0.0016491	0.00150534	-	3887.89	1841.35	0.0347431	116103	agefirstsex.baseline	LifetimeMDD	7	LifetimeMDD:7	0.00553616	0.025967457587931
118	-	Base	1	0.000144485	0.00149184	0.00134735	-	3802.99	1795.16	0.0341436	116103	agefirstsex.baseline	LifetimeMDD	8	LifetimeMDD:8	0.0100526	0.014372898553608
119	-	Base	1	3.05195e-07	0.00201558	0.00201528	-	175.893	1807.85	0.922494	116103	agefirstsex.baseline	LifetimeMDD	9	LifetimeMDD:9	0.00712439	4.2838053503528e-05
120	-	Base	1	0.000394647	0.00181002	0.00141537	-	6338.35	1811.61	0.000468106	116103	agefirstsex.baseline	LifetimeMDD	10	LifetimeMDD:10	0.00847227	0.0465810225594793
121	-	Base	1	0.000358791	0.00222992	0.00187112	-	-24855.7	7455.89	0.000857981	110745	agefirstsex.baseline	Soft-ImpOnly	1	Soft-ImpOnly:1	0.00828661	0.0432976814402995
122	-	Base	1	3.71586e-05	0.00206658	0.00202942	-	-8072.07	7509.33	0.28241	116103	agefirstsex.baseline	Soft-ImpOnly	2	Soft-ImpOnly:2	0.00393597	0.00944077317662482
123	-	Base	1	0.000690344	0.00218756	0.00149722	-	-35399.6	7650.59	3.72425e-06	116103	agefirstsex.baseline	Soft-ImpOnly	3	Soft-ImpOnly:3	0.0107091	0.0644633069072098
124	-	Base	1	0.000249291	0.00142496	0.00117567	-	-21140.3	7607.78	0.00545977	116103	agefirstsex.baseline	Soft-ImpOnly	4	Soft-ImpOnly:4	0.0144168	0.0172917013484268
